"LEVEL_3_CO"	"SpecName"
"NAT"	"Accipiter ovampensis"
"NGA"	"Accipiter ovampensis"
"NGR"	"Accipiter ovampensis"
"RWA"	"Accipiter ovampensis"
"SEN"	"Accipiter ovampensis"
"SIE"	"Accipiter ovampensis"
"SUD"	"Accipiter ovampensis"
"TAN"	"Accipiter ovampensis"
"TOG"	"Accipiter ovampensis"
"TVL"	"Accipiter ovampensis"
"UGA"	"Accipiter ovampensis"
"ZAI"	"Accipiter ovampensis"
"ZAM"	"Accipiter ovampensis"
"ZIM"	"Accipiter ovampensis"
"LSI"	"Accipiter poliocephalus"
"NWG"	"Accipiter poliocephalus"
"AGE"	"Accipiter poliogaster"
"BOL"	"Accipiter poliogaster"
"BZC"	"Accipiter poliogaster"
"BZE"	"Accipiter poliogaster"
"BZL"	"Accipiter poliogaster"
"BZN"	"Accipiter poliogaster"
"BZS"	"Accipiter poliogaster"
"CLM"	"Accipiter poliogaster"
"ECU"	"Accipiter poliogaster"
"FRG"	"Accipiter poliogaster"
"GUY"	"Accipiter poliogaster"
"PAR"	"Accipiter poliogaster"
"PER"	"Accipiter poliogaster"
"SUR"	"Accipiter poliogaster"
"VEN"	"Accipiter poliogaster"
"BIS"	"Accipiter princeps"
"MOL"	"Accipiter rhodogaster"
"SUL"	"Accipiter rhodogaster"
"FIJ"	"Accipiter rufitorques"
"ANG"	"Accipiter rufiventris"
"CPP"	"Accipiter rufiventris"
"ERI"	"Accipiter rufiventris"
"ETH"	"Accipiter rufiventris"
"KEN"	"Accipiter rufiventris"
"LES"	"Accipiter rufiventris"
"MLW"	"Accipiter rufiventris"
"MOZ"	"Accipiter rufiventris"
"NAT"	"Accipiter rufiventris"
"OFS"	"Accipiter rufiventris"
"RWA"	"Accipiter rufiventris"
"SUD"	"Accipiter rufiventris"
"SWZ"	"Accipiter rufiventris"
"TAN"	"Accipiter rufiventris"
"TVL"	"Accipiter rufiventris"
"UGA"	"Accipiter rufiventris"
"ZAI"	"Accipiter rufiventris"
"ZAM"	"Accipiter rufiventris"
"ZIM"	"Accipiter rufiventris"
"CHC"	"Accipiter soloensis"
"CHS"	"Accipiter soloensis"
"VIE"	"Accipiter soloensis"
"ABT"	"Accipiter striatus"
"AGE"	"Accipiter striatus"
"AGW"	"Accipiter striatus"
"ALA"	"Accipiter striatus"
"ARI"	"Accipiter striatus"
"ARK"	"Accipiter striatus"
"ASK"	"Accipiter striatus"
"BOL"	"Accipiter striatus"
"BRC"	"Accipiter striatus"
"BZC"	"Accipiter striatus"
"BZE"	"Accipiter striatus"
"BZL"	"Accipiter striatus"
"BZN"	"Accipiter striatus"
"BZS"	"Accipiter striatus"
"CAL"	"Accipiter striatus"
"CLM"	"Accipiter striatus"
"CNT"	"Accipiter striatus"
"COL"	"Accipiter striatus"
"CUB"	"Accipiter striatus"
"DEL"	"Accipiter striatus"
"DOM"	"Accipiter striatus"
"ECU"	"Accipiter striatus"
"ELS"	"Accipiter striatus"
"GEO"	"Accipiter striatus"
"GUA"	"Accipiter striatus"
"HAI"	"Accipiter striatus"
"HON"	"Accipiter striatus"
"IDA"	"Accipiter striatus"
